url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=CHEM437&Crsname=分析化學（三）,異動,更換時間1/16,False,化學系,CHEM437,2,不分班,"分析化學（三）
ANALYTICAL CHEMISTRY (III)",3,期,False,50,0,47,3,曾韋龍,理SC 3001,"['', '', '', '678', '', '', '']","《講授類》
化學系主題課程。2-4年級皆可選修。",['半導體化學'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=CHEM439&Crsname=半導體微汙染化學分析,,,False,化學系,CHEM439,4,不分班,"半導體微汙染化學分析
CHEMICAL ANALYSIS FOR MICRO-CONTAMINATION IN SEMICONDUCTOR MANUFACTURING",3,期,False,140,3,104,36,謝建台,理SC 1005,"['', '', '', '567', '', '', '']","《講授類》
2-4年級皆可選修。",['半導體化學'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=CHEM440&Crsname=物理化學（三）,異動,更換部份時間1/10,False,化學系,CHEM440,3,不分班,"物理化學（三）
PHYSICAL CHEMISTRY (III)",3,期,False,50,2,28,22,蔣昭明,理SC 3004,"['', '67', '', '', '5', '', '']","《講授類》
化學系主題課程。3-4年級皆可選修。",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS102&Crsname=基礎物理實作（二）,,,False,物理系,PHYS102,1,全英班,"基礎物理實作（二）
EXPERIMENTAL APPROACHES IN PHYSICS (II)",3,期,True,50,0,26,24,洪昇廷,理SC 0017,"['678', '', '', '', '', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS112&Crsname=微積分（二）,,,False,物理系,PHYS112,1,不分班,"微積分（二）
CALCULUS(II)",3,期,True,50,1,29,21,鍾思齊,工EC 1009,"['', '', '', '234', '', '', '']","《講授類》
與電機系併班上課",['人工智慧與數學學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS112A&Crsname=微積分（二）,,,False,物理系,PHYS112A,1,全英班,"微積分（二）
CALCULUS(II)",3,期,True,50,0,30,20,翁鵬絜,工EC 6019,"['', '', '', '', '234', '', '']","《講授類》
與電機系英文組併班上課
※英語授課",['人工智慧與數學學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS114&Crsname=普通化學（二）,,,False,物理系,PHYS114,1,不分班,"普通化學（二）
GENERAL CHEMISTRY(II)",3,期,True,50,0,33,17,丁尚武,理SC 0014,"['', '', '', '', '234', '', '']","《講授類》
與材光系併班上課",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS114A&Crsname=普通化學（二）,,,False,物理系,PHYS114A,1,全英班,"普通化學（二）
GENERAL CHEMISTRY(II)",3,期,True,50,1,31,19,克里斯那,工EN 0032,"['', '', '', '', '567', '', '']","《講授類》
與材光系併班上課",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS116&Crsname=普通化學實驗（二）,,,False,物理系,PHYS116,1,不分班,"普通化學實驗（二）
GENERAL CHEMISTRY LABORATORY(II)",1,期,True,50,0,31,19,王家蓁,理SC 4019,"['', '', '234', '', '', '', '']",《實驗類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=PHYS116A&Crsname=普通化學實驗（二）,,,False,物理系,PHYS116A,1,全英班,"普通化學實驗（二）
GENERAL CHEMISTRY LABORATORY(II)",1,期,True,50,0,32,18,王家蓁,理SC 4019,"['', '', '', '567', '', '', '']",《實驗類》,[],True
