url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM706&Crsname=產業專案研究,,,False,人管博,HRM706,2,不分班,"產業專案研究
INDEPENDENT STUDIES IN INDUSTRY",3,期,False,50,0,1,49,陳世哲,管CM 1036,"['', '', '', 'AB5', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM713&Crsname=英文論文寫作（二）,異動,更換時間及教室1/23,False,人管博,HRM713,2,不分班,"英文論文寫作（二）
PAPER WRITING IN ENGLISH (II)",3,期,False,50,0,4,46,紀乃文,管CM 2038,"['', '', '567', '', '', '', '']","《講授類》
限修過英文論文寫作(一)",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM715&Crsname=質化研究方法（一）,,,False,人管博,HRM715,1,不分班,"質化研究方法（一）
QUALITATIVE RESEARCH METHODS (I)",3,期,False,50,1,4,46,葉致微,管CM 4091,"['', '', '', 'CDE', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM743&Crsname=高等組織發展（二）,,,False,人管博,HRM743,1,不分班,"高等組織發展（二）
ADVANCED ORGANIZATION DEVELOPMENT (II)",3,期,False,50,0,2,48,陳以亨,管CM 4091,"['678', '', '', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM755&Crsname=工作情緒專題研討,新增,1/18,False,人管博,HRM755,0,不分班,"工作情緒專題研討
SEMINAR IN MOODS AND EMOTIONS AT WORK",3,期,False,50,0,4,46,紀乃文,管CM 4091,"['', '', '', '234', '', '', '']","《研討類》
限修過""員工工作態度與行為研討""課程者修習。",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM757&Crsname=員工工作態度與行為研討,異動,更換時間12/29,False,人管博,HRM757,0,不分班,"員工工作態度與行為研討
SEMINAR IN EMPLOYEE ATTITUDES AND BEHAVIORS AT WORK",3,期,False,50,0,3,47,紀乃文,管CM 1036,"['678', '', '', '', '', '', '']",《研討類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM759&Crsname=職場壓力與健康研討,,,False,人管博,HRM759,0,不分班,"職場壓力與健康研討
SEMINAR IN WORKPLACE STRESS AND HEALTH",3,期,False,50,3,16,34,謝慧賢,管CM 4091,"['CDE', '', '', '', '', '', '']","《研討類》
限人管所學生選修",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HRM831&Crsname=人力資源測驗評量專題研究,,,False,人管博,HRM831,2,不分班,"人力資源測驗評量專題研究
INDEPENDENT STUDIES OF ASSESSMENT METHODS IN WORKPLACE",3,期,False,50,0,0,50,李澄賢,管CM 3043,"['', '', 'CDE', '', '', '', '']",《獨立研究》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HCM701&Crsname=高等組織及管理理論,,,False,企醫管博,HCM701,1,不分班,"高等組織及管理理論
ADVANCED MANAGEMENT THEORY",3,期,True,50,0,6,44,施欣宜,管CM 2021,"['', '234', '', '', '', '', '']","《講授類》
英語授課; 與企管博-高等管理理論併班",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=HCM703&Crsname=高等統計分析（二）,,,False,企醫管博,HCM703,1,不分班,"高等統計分析（二）
ADVANCED STATISTICAL ANALYSIS (II)",3,期,True,50,0,8,42,黃俊智,管CM 3051,"['', '', '', 'CDE', '', '', '']","《講授類》
與企企管博併班",[],False
