url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MIS445&Crsname=電子商務,,,False,資管系,MIS445,3,不分班,"電子商務
ELECTRONIC COMMERCE",3,期,True,50,15,53,-3,陳偉慶,管CM 2025,"['', '', '', '678', '', '', '']",《講授類》,"['金融科技與創新微學程', '行銷管理學程', '金融科技學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM107&Crsname=初級會計學（二）,,,False,財管系,FM107,1,不分班,"初級會計學（二）
ACCOUNTING(II)",3,期,True,65,0,59,6,吳藺芝,管CM 1037,"['234', '', '', '', '', '', '']","《講授類》
限財管系",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM109&Crsname=經濟學（二）,,,False,財管系,FM109,1,不分班,"經濟學（二）
ECONOMICS(II)",3,期,True,60,6,60,0,佘博文,管CM 2037,"['', '', '234', '', '', '', '']","《講授類》
限財管系(含雙主修、輔系)",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM110&Crsname=微積分（二）,,,False,財管系,FM110,1,不分班,"微積分（二）
CALCULUS(II)",3,期,True,60,5,60,0,卓建宏,管CM 1037,"['', '', '', '234', '', '', '']","《講授類》
限財管系",['人工智慧與數學學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM111&Crsname=管理學,,,False,財管系,FM111,1,不分班,"管理學
MANAGEMENT",3,期,True,55,0,55,0,張世賢,管CM 1032,"['', '', '567', '', '', '', '']","《講授類》
限財管系(含雙主修、輔系)",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM112&Crsname=財務軟體應用,,,False,財管系,FM112,1,不分班,"財務軟體應用
COMPUTER APPLICATION IN FINANCIAL MANAGEMENT",3,期,False,50,19,49,1,翁培師,管CM 2023,"['', '567', '', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM206&Crsname=統計學（二）,,,False,財管系,FM206,2,不分班,"統計學（二）
STATISTICS(II)",3,期,True,65,0,52,13,蔡秉真,管CM 3015,"['', '567', '', '', '', '', '']","《講授類》
限財管系
※英語授課",['金融工程學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM207&Crsname=財務管理（二）,,,False,財管系,FM207,2,不分班,"財務管理（二）
FINANCIAL MANAGEMENT (II)",3,期,True,50,8,50,0,封之遠,管CM 2037,"['', '', '567', '', '', '', '']","《講授類》
限財管系(含雙主修、輔系)",['財務管理專業學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM208&Crsname=中級會計學（二）,,,False,財管系,FM208,2,不分班,"中級會計學（二）
INTERMEDIATE ACCOUNTING (II)",3,期,True,70,4,59,11,吳藺芝,管CM 1037,"['', '234', '', '', '', '', '']","《講授類》
限財管系 
※英語授課",['會計學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM209&Crsname=商事法,,,False,財管系,FM209,2,不分班,"商事法
BUSINESS LAW",3,期,True,60,0,53,7,周宜鋒,管CM 1025,"['', '', '', '', '234', '', '']","《講授類》
限財管系",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM301&Crsname=財務報表分析,,,False,財管系,FM301,3,不分班,"財務報表分析
FINANCIAL STATEMENT ANALYSIS",3,期,True,75,0,51,24,蔡佳芬,管CM 3015,"['', '', '', '567', '', '', '']","《講授類》
限財管系","['會計學程', '財務管理專業學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM310&Crsname=期貨與選擇權概論,,,False,財管系,FM310,3,不分班,"期貨與選擇權概論
INTRODUCTION TO OPTIONS AND FUTURES",3,期,True,50,3,51,-1,鄭義,管CM 2037,"['123', '', '', '', '', '', '']","《講授類》
限財管系","['金融工程學程', '金融科技學程', '財務管理專業學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM312&Crsname=管理會計,,,False,財管系,FM312,3,不分班,"管理會計
MANAGERIAL ACCOUNTING",3,期,False,50,1,26,24,陳俐聿,管CM 2025,"['', '', '', '234', '', '', '']","《講授類》
 
※英語授課",['會計學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM314&Crsname=財務工程概論,,,False,財管系,FM314,3,不分班,"財務工程概論
FINANCIAL ENGINEERING",3,期,False,50,0,23,27,蔡秉真,管CM 2015,"['', '', '', '', '567', '', '']",《講授類》,"['金融工程學程', '金融科技學程', '財務管理專業學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM324&Crsname=風險管理與保險,,,False,財管系,FM324,3,不分班,"風險管理與保險
RISK MANAGEMENT AND INSURANCE",3,期,True,50,1,51,-1,唐俊華,管CM 2037,"['', '567', '', '', '', '', '']","《講授類》
限財管系","['金融工程學程', '財務管理專業學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM409&Crsname=審計學,,,False,財管系,FM409,4,不分班,"審計學
AUDITINGS",3,期,False,50,0,32,18,陳俐聿,管CM 2025,"['', '', '234', '', '', '', '']",《講授類》,['會計學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=FM417&Crsname=稅務實務,,,False,財管系,FM417,4,不分班,"稅務實務
TAX IN  PRACTICE",3,期,False,50,0,2,48,王志銘,管CM 2015,"['', '567', '', '', '', '', '']",《講授類》,[],False
