url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC501&Crsname=社會學經典,,,False,社會碩,SOC501,1,不分班,"社會學經典
SOCIOLOGICAL CLASSIC",3,期,True,50,0,11,39,葉高華,"三2,3,4(社SS 3004-2)","['', '', '234', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC509&Crsname=南方社會議題（一）,異動,確認教師8/7,False,社會碩,SOC509,1,不分班,"南方社會議題（一）
ISSUES OF SOUTH SOCIETY(Ⅰ)",1,期,True,50,0,9,41,楊又欣,三5(社SS 3004-2),"['', '', '5', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC511&Crsname=亞洲社會學,,,False,社會碩,SOC511,1,不分班,"亞洲社會學
SOCIOLOGY OF ASIAN SOCIETY",3,期,False,50,0,1,49,"林傳凱,王梅香,葉高華","五2,3,4(社SS 3004-1)","['', '', '', '', '234', '', '']","《講授類》
本課程為學位論文指導課程，限本系同學選修",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC570&Crsname=科技與民主,,,False,社會碩,SOC570,1,不分班,"科技與民主
SCIENCE, TECHNOLOGY AND DEMOCRACY",3,期,False,50,0,11,39,李宛儒,"一6,7,8(社SS 3004-2 )","['678', '', '', '', '', '', '']",《講授類》,['公民參與微學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC582&Crsname=檔案與社會研究,異動,更換主授教師6/27,False,社會碩,SOC582,1,不分班,"檔案與社會研究
ARCHIVE AND SOCIOLOGY STUDY",3,期,False,50,0,16,34,"林傳凱,葉高華","二2,3,4(社SS 3004-2)","['', '234', '', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC584&Crsname=社會科學英文寫作,,,False,社會碩,SOC584,1,不分班,"社會科學英文寫作
ENGLISH WRITING FOR SOCIAL SCIENCE",3,期,False,50,1,8,42,趙恩潔,"四6,7,8(社SS 3004-2)","['', '', '', '678', '', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC585&Crsname=性/別與空間,異動,確認教師8/7,False,社會碩,SOC585,1,不分班,"性/別與空間
GENDER/SEXUALITIES AND SPACES",3,期,False,50,0,10,40,楊又欣,"二6,7,8(社SS 3004-2)","['', '678', '', '', '', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC607&Crsname=南方社會議題（三）,異動,確認教師8/7,False,社會碩,SOC607,2,不分班,"南方社會議題（三）
ISSUES OF SOUTH SOCIETY (III)",1,期,True,50,0,10,40,楊又欣,三6(社SS 3004-2),"['', '', '6', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=SOC648&Crsname=量化研究（二）,,,False,社會碩,SOC648,2,不分班,"量化研究（二）
QUANTITATIVE STUDY (II)",3,期,False,50,0,3,47,戴昀,"四2,3,4(社SS 3004-2)","['', '', '', '234', '', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=MAPA501&Crsname=社會科學研究方法,,,False,亞太英語碩程,MAPA501,1,不分班,"社會科學研究方法
RESEARCH METHODS IN SOCIAL SCIENCE",3,期,True,50,0,4,46,希家玹,"一2,3,4(社SS 4005)","['234', '', '', '', '', '', '']",《講授類》,[],True
