url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=EE4806B&Crsname=通訊實作專題,,,False,電機系,EE4806B,3,全英班,"通訊實作專題
INDEPENDENT STUDIES IN COMMUNICATION PRACTICE",2,期,True,50,0,1,49,待聘,"六1,2,3,4(工EC 6013)(實驗)","['', '', '', '', '', '1234', '']","《獨立研究》
請自行找通訊組老師做專題，請先至https://forms.gle/abfrVnsjVbZGQQRg6登錄",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=EE4807&Crsname=系統晶片實作專題,,,False,電機系,EE4807,3,甲班,"系統晶片實作專題
INDEPENDENT STUDIES IN SYSTEM-ON-CHIP DESIGN",2,期,True,50,0,15,35,待聘,"六5,6,7,8(工EC 6013)(實驗)","['', '', '', '', '', '5678', '']","《獨立研究》
請自行找SOC組老師做專題，請先至https://forms.gle/abfrVnsjVbZGQQRg6登錄",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=EE4807A&Crsname=系統晶片實作專題,,,False,電機系,EE4807A,3,乙班,"系統晶片實作專題
INDEPENDENT STUDIES IN SYSTEM-ON-CHIP DESIGN",2,期,True,50,0,29,21,待聘,"二C,D,E,F(工EC 6013)(實驗)","['', 'CDEF', '', '', '', '', '']","《獨立研究》
請自行找SOC組老師做專題，請先至https://forms.gle/abfrVnsjVbZGQQRg6登錄",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=EE4807B&Crsname=系統晶片實作專題,,,False,電機系,EE4807B,3,全英班,"系統晶片實作專題
INDEPENDENT STUDIES IN SYSTEM-ON-CHIP DESIGN",2,期,True,50,0,10,40,待聘,"六5,6,7,8(工EC 6013)(實驗)","['', '', '', '', '', '5678', '']","《獨立研究》
請自行找SOC組老師做專題，請先至https://forms.gle/abfrVnsjVbZGQQRg6登錄",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MEME104&Crsname=微積分（二）,,,False,機電系,MEME104,1,甲班,"微積分（二）
CALCULUS(II)",3,期,True,55,2,35,20,張中,"五2,3,4(工EN 4055-1)","['', '', '', '', '234', '', '']","《講授類》
一甲、一乙班併班上課",['人工智慧與數學學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MEME104A&Crsname=微積分（二）,,,False,機電系,MEME104A,1,乙班,"微積分（二）
CALCULUS(II)",3,期,True,55,0,37,18,張中,"五2,3,4(工EN 4055-1)","['', '', '', '', '234', '', '']","《講授類》
一甲、一乙班併班上課",['人工智慧與數學學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MEME104B&Crsname=微積分（二）,,,False,機電系,MEME104B,1,全英班,"微積分（二）
CALCULUS(II)",3,期,True,60,0,55,5,余冠儒,"五2,3,4(工EC 2006)","['', '', '', '', '234', '', '']","《講授類》
與化學系英語組併班上課
※英語授課",['人工智慧與數學學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MEME106&Crsname=機電材料,,,False,機電系,MEME106,1,甲班,"機電材料
ELECTRO-MECHANICAL MATERIALS",3,期,True,60,2,39,21,胡龍豪,"一5,6,7(工EC 3001)","['567', '', '', '', '', '', '']","《講授類》
限該班及重修生修習。『本課程之限修，於加退選2階段開放選修』","['太空科技微學程', '半導體設備工程學程', '南星產業樞紐學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MEME106A&Crsname=機電材料,,,False,機電系,MEME106A,1,乙班,"機電材料
ELECTRO-MECHANICAL MATERIALS",3,期,True,60,1,38,22,黃永茂,"四2,3,4(工EC 3001)","['', '', '', '234', '', '', '']","《講授類》
限該班及重修生修習。『本課程之限修，於加退選2階段開放選修』","['太空科技微學程', '半導體設備工程學程', '南星產業樞紐學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=MEME106B&Crsname=機電材料,,,False,機電系,MEME106B,1,全英班,"機電材料
ELECTRO-MECHANICAL MATERIALS",3,期,True,60,2,42,18,李伯軒,"三5,6,7(工EC 2006)","['', '', '567', '', '', '', '']","《講授類》
 
※英語授課","['太空科技微學程', '半導體設備工程學程', '南星產業樞紐學程']",False
